UT NAME, District Name, District Helpline Number, UT Helpline Number
ANDAMAN AND NICOBAR ISLANDS, , , 03192-232102
CHANDIGARH, , , 9779558282
DADRA AND NAGAR HAVELI AND DAMAN AND DIU, Daman, 104, 104
DADRA AND NAGAR HAVELI AND DAMAN AND DIU, Dadra and Nagar Haveli, 02602-412500, 104
DADRA AND NAGAR HAVELI AND DAMAN AND DIU, Diu, 02875-252111, 104
DELHI, , , 011-22307145
JAMMU & KASHMIR, Ananthnag, 7006367950, 01912-520982
JAMMU & KASHMIR, Srinagar, 0194-2457552, 01912-520982
JAMMU & KASHMIR, Bandipore, 01957-225024, 01912-520982
JAMMU & KASHMIR, Baramulla, 01952-234005, 01912-520982
JAMMU & KASHMIR, Budgam, 01951-255241, 01912-520982
JAMMU & KASHMIR, Ganderbal, 0194-2416260, 01912-520982
JAMMU & KASHMIR, Kulgam, 01931-260156, 01912-520982
JAMMU & KASHMIR, Kupwara, 01955-253522, 01912-520982
JAMMU & KASHMIR, Poonch, 01965-220333, 01912-520982
JAMMU & KASHMIR, Pulwama, 01933-241240, 01912-520982
JAMMU & KASHMIR, Shopian, 01933-260293, 01912-520982
JAMMU & KASHMIR, Doda, 1800-180-7122, 01912-520982
JAMMU & KASHMIR, Jammu, 0191-2571912, 01912-520982
JAMMU & KASHMIR, Kathua, 1800 180 7180, 01912-520982
JAMMU & KASHMIR, Kishtwar, 01995-259555;, 01912-520982
JAMMU & KASHMIR, Ramban, 01998-266789, 01912-520982
JAMMU & KASHMIR, Reasi, 01991-245669, 01912-520982
JAMMU & KASHMIR, Udhampur, 01992-270212, 01912-520982
LADAKH, Leh, 01982-255530, 01982-256462
LADAKH, Kargil, 01985-232263, 01982-256462
LAKSHADWEEP, , , 104
PONDICHERRY, Pondicherry, 104, 104
PONDICHERRY, Yanam, 8842325100, 104
PONDICHERRY, Karaikal, 04368 261242, 104
PONDICHERRY, Mahe, 0490- 2332222, 104